time,no.,BT,B-pix,G-pix,R-pix,B-st,G-st,R-st,D-pix-w300,D-st-w300,Dm-pix-w300,Dm-st-w300,gray-pix,gray-st,graym-pix,graym-st,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134,p135,p136,p137,p138,p139,p140,p141,p142,p143,p144,p145,p146,p147,p148,p149,p150,p151,p152,p153,p154,p155,p156,p157,p158,p159,p160,p161,p162,p163,p164,p165,p166,p167,p168,p169,p170,p171,p172,p173,p174,p175,p176,p177,p178,p179,p180,p181,p182,p183,p184,p185,p186,p187,p188,p189,p190,p191,p192,p193,p194,p195,p196,p197,p198,p199,p200,p201,p202,p203,p204,p205,p206,p207,p208,p209,p210,p211,p212,p213,p214,p215,p216,p217,p218,p219,p220,p221,p222,p223,p224,p225,p226,p227,p228,p229,p230,p231,p232,p233,p234,p235,p236,p237,p238,p239,p240,p241,p242,p243,p244,p245,p246,p247,p248,p249,p250,p251,p252,p253,p254,p255,p256,p257,p258,p259,p260,p261,p262,p263,p264,p265,p266,p267,p268,p269,p270,p271,p272,p273,p274,p275,p276,p277,p278,p279,p280,p281,p282,p283,p284,p285,p286,p287,p288,p289,p290,p291,p292,p293,p294,p295,p296,p297,p298,p299,p300,p301,p302,p303,p304,p305,p306,p307,p308,p309,p310,p311,p312,p313,p314,p315,p316,p317,p318,p319,p320,p321,p322,p323,p324,p325,p326,p327,p328,p329,p330,p331,p332,p333,p334,p335,p336,p337,p338,p339,p340,p341,p342,p343,p344,p345,p346,p347,p348,p349,p350,p351,p352,p353,p354,p355,p356,p357,p358,p359,p360,p361,p362,p363,p364,p365,p366,p367,p368,p369,p370,p371,p372
20190701-122404,1,30,137.16,137.23,126.94,74.21,59.1,58.35,62.3,71.81,138.78,24.03,134.13,59.95,187.56,14.44,1,1,3,6,4,7,2,3,5,3,2,3,1,4,3,5,1,3,2,2,6,1,5,7,2,2,3,1,3,2,2,4,3,2,3,3,6,2,3,3,2,2,7,6,3,2,5,3,3,2,2,3,3,7,2,2,3,3,1,3,2,1,4,3,4,3,4,5,2,3,6,2,2,3,4,3,2,2,5,2,3,4,3,5,2,3,5,2,3,7,1,2,1,5,1,3,5,4,3,3,3,4,6,4,1,3,2,3,3,4,1,4,2,1,2,7,2,3,7,2,2,2,2,2,3,5,1,3,3,2,3,1,3,6,4,2,1,3,4,2,8,1,1,1,4,2,1,2,3,3,2,3,2,3,3,2,6,3,2,3,2,1,4,2,2,3,3,3,3,5,7,3,3,1,4,5,2,2,3,2,1,4,3,1,5,3,2,3,3,7,2,2,3,5,3,3,3,4,2,2,4,3,2,2,2,7,2,2,4,2,2,3,2,1,2,5,3,4,3,4,5,3,2,3,4,4,3,5,4,3,6,3,2,1,3,1,3,2,3,3,4,2,5,3,6,3,3,1,3,3,2,5,8,4,3,3,2,3,1,3,2,1,2,3,5,3,5,3,2,1,4,7,4,2,4,4,6,4,3,2,8,2,3,2,3,1,3,1,3,2,6,3,2,3,3,2,2,4,2,2,1,1,7,1,5,2,2,3,5,1,1,6,2,4,5,3,6,2,3,4,1,2,7,1,4,4,4,3,3,3,8,3,3,2,1,4,1,3,2,2,6,1,3,3,2,3,1,4,3,2,9,2,2,2,2,3,2,3,3,3,8,3,1,3,3,3,4,3,2,4,6,6
20190731-134557,2,31,128.38,132.99,129.43,73.14,65.83,65.71,81.05,84.85,164.38,24.49,131.4,66.47,185.07,9.82,7,10,8,10,9,10,4,9,7,9,10,10,10,9,9,10,8,9,7,8,9,9,9,9,8,9,8,10,8,10,9,10,8,9,10,8,10,8,10,8,4,8,10,9,6,9,7,10,8,9,7,8,9,4,8,8,9,8,4,8,9,10,7,6,8,10,8,8,8,8,8,9,5,9,8,7,9,8,9,7,9,7,7,8,8,7,9,8,8,10,10,9,8,9,9,8,8,10,8,7,7,6,9,6,10,8,3,7,7,8,8,8,4,8,9,10,7,8,1,9,5,8,8,8,9,9,7,9,9,9,10,7,10,8,10,9,8,6,8,7,5,10,5,9,8,10,3,,9,4,10,7,8,7,8,9,9,8,10,7,8,7,8,4,10,8,6,10,7,6,8,7,9,10,9,8,6,7,9,5,7,10,9,8,10,9,8,3,8,9,7,9,7,7,10,8,3,6,9,9,7,9,7,7,7,4,10,6,10,10,8,9,9,4,7,5,8,9,8,9,10,9,10,5,5,9,8,8,8,5,10,7,6,9,9,3,8,9,9,8,9,8,7,7,9,8,8,8,9,9,10,8,8,8,7,7,8,9,7,3,9,5,9,7,9,9,6,9,8,8,8,5,9,8,2,8,6,5,8,7,9,8,8,9,7,4,7,5,8,8,8,8,4,7,10,10,7,8,7,6,10,10,9,10,8,10,10,8,8,9,8,9,6,9,9,8,9,7,9,8,6,8,10,3,8,5,7,8,8,9,8,10,6,8,10,8,8,7,7,7,9,7,9,7,8,4,7,7,7,5,7,8,8,9,8,9,9,8,6,8,4,8,4,10,8,8,9,9,8,5,8,8
20190702-145226,3,30,142.73,144.17,134.38,77.82,67.51,69.5,63.38,80.32,71.91,31.62,141.09,68.76,149.58,40.26,3,4,3,6,2,9,4,3,5,5,3,5,5,7,2,5,2,7,4,3,8,3,7,7,2,4,4,1,3,4,3,4,5,6,8,2,8,2,3,4,2,3,5,3,4,4,4,7,2,3,2,4,3,8,3,2,6,6,1,4,6,9,3,3,4,5,4,4,5,3,7,2,2,3,5,5,5,3,6,4,3,5,6,5,4,3,4,4,5,1,5,4,7,4,1,3,4,8,4,4,4,5,5,4,1,7,2,3,3,5,3,6,7,2,4,9,2,3,3,2,2,4,6,3,3,3,1,5,2,3,5,8,1,7,5,6,2,3,5,2,7,4,1,4,5,5,2,2,3,2,4,3,2,3,3,4,1,5,2,3,6,3,5,3,8,7,6,10,4,5,5,4,5,8,6,6,5,2,6,4,5,3,3,1,5,5,7,1,4,7,2,3,5,7,6,3,3,4,4,6,5,5,2,2,2,7,4,2,5,4,3,3,6,1,2,6,7,5,3,6,8,4,1,4,3,6,2,7,6,4,6,3,4,6,2,5,7,4,6,6,8,2,6,5,6,4,5,2,3,2,7,5,7,7,4,4,3,5,2,2,3,1,3,2,8,5,4,5,5,1,5,4,5,6,2,1,6,6,3,4,7,4,5,4,3,3,5,1,5,3,4,3,7,3,3,2,2,5,4,4,1,1,4,1,5,3,2,3,6,5,3,7,4,7,8,3,7,2,3,7,7,2,6,3,5,5,8,4,7,5,6,6,3,2,6,5,1,6,2,3,4,2,6,6,5,2,1,5,3,5,4,4,2,4,3,2,7,3,5,4,3,3,1,3,4,9,5,4,5,3,7,7
20190703-105340,4,26,140.17,142.55,139.59,88.35,82.47,81.97,92.34,99.48,182.85,12.56,141.4,82.86,209.64,11.97,3,10,4,7,7,8,5,4,5,5,3,9,5,4,5,6,3,7,6,6,8,3,7,4,2,3,4,1,5,7,5,4,6,6,7,4,6,5,4,4,3,2,5,5,3,5,7,5,2,3,3,4,4,7,5,3,8,8,2,4,4,7,7,4,2,7,3,7,6,3,8,3,2,4,6,7,7,4,7,5,9,4,6,5,6,4,5,7,6,8,7,3,5,7,7,5,6,6,3,4,3,6,5,4,1,7,3,4,4,8,5,5,7,2,4,3,7,5,4,5,2,6,7,4,7,7,4,5,4,4,8,8,5,6,8,6,4,4,5,3,3,5,4,5,5,5,2,3,6,3,4,6,5,3,6,7,3,5,1,4,5,3,5,3,8,4,5,3,7,5,6,8,7,3,8,5,6,3,7,7,5,8,4,1,7,8,7,6,4,8,4,4,5,7,6,3,4,4,5,8,7,8,4,3,3,6,8,4,8,4,3,8,5,1,3,6,6,6,6,7,9,5,3,6,5,6,7,8,7,5,9,4,4,4,3,3,7,6,6,7,6,2,5,6,6,4,3,2,6,7,8,5,7,9,8,5,6,7,5,3,6,2,7,3,8,5,4,5,7,3,4,7,5,3,1,3,7,4,4,7,4,7,6,7,3,4,4,2,5,5,7,3,7,5,3,5,3,6,4,6,1,2,8,5,3,4,1,3,7,5,2,10,7,7,6,6,10,3,3,8,9,5,8,3,5,6,6,6,6,5,5,8,7,2,10,5,1,9,6,6,6,2,5,5,7,2,3,7,3,9,8,3,3,4,4,3,6,5,4,4,4,3,2,8,5,9,5,5,5,4,5,5
20190703-155400,5,27,124.46,123.69,116.41,74.51,66.68,64.93,68.09,75.24,148.33,18.05,121.57,66.83,193.6,18.21,3,10,4,7,9,8,5,3,5,7,3,4,4,8,4,8,3,4,6,9,7,5,8,7,1,3,5,1,3,6,4,5,6,6,7,3,9,4,3,7,4,1,5,4,2,7,4,6,4,3,3,4,3,8,6,3,9,9,2,6,2,4,4,6,4,7,3,6,7,3,8,3,4,3,5,7,3,4,7,5,5,4,7,4,5,4,4,7,4,1,5,3,7,5,4,3,7,9,3,3,3,6,5,3,1,8,3,3,4,5,5,4,5,3,3,5,6,4,4,4,2,5,7,4,7,7,4,6,3,4,3,8,3,7,9,7,6,3,5,3,4,10,4,5,3,7,2,3,4,3,6,7,5,3,5,4,2,5,4,4,5,3,4,3,7,5,5,8,8,5,5,7,9,1,10,6,6,4,6,6,5,7,4,1,6,8,8,6,4,9,3,4,4,7,3,5,4,4,5,6,7,8,3,3,4,5,7,5,9,5,2,8,5,1,4,6,7,5,4,8,8,5,2,6,4,6,6,7,7,5,3,4,6,3,4,5,6,6,6,7,6,2,6,5,6,4,4,2,7,5,8,5,8,7,8,4,7,5,6,3,4,3,8,3,9,4,5,5,6,3,4,5,5,3,1,1,6,7,4,5,4,4,5,9,2,6,5,2,6,4,6,5,5,4,3,4,3,6,4,5,1,2,2,5,3,4,4,2,7,7,2,9,8,5,5,4,9,3,3,8,7,3,4,2,6,6,6,6,6,3,8,5,7,2,9,4,1,6,4,5,4,2,5,5,5,3,2,8,4,7,8,4,4,5,5,2,6,8,4,5,4,3,1,3,7,9,4,8,5,3,7,7
20190710-161527,6,27,123.03,124.95,118.81,78.21,69.82,68.73,71.39,83.2,144.99,33.69,122.89,70.28,187.58,10.65,5,10,8,8,10,9,6,5,6,7,5,8,7,7,6,7,2,4,7,5,8,6,9,8,5,3,9,7,6,5,6,7,6,8,6,5,8,5,5,6,5,2,5,4,3,8,8,6,7,5,3,8,4,5,7,3,8,10,2,7,5,4,7,7,5,7,6,8,5,3,9,7,4,8,6,8,4,6,8,6,9,5,8,6,6,4,6,4,4,8,6,5,7,8,8,6,7,9,5,5,3,6,7,5,1,8,3,5,6,6,7,4,8,5,4,8,6,6,4,8,3,6,7,7,6,8,3,6,8,4,7,9,4,6,10,7,7,5,7,2,5,10,4,7,6,6,2,5,7,4,6,7,7,6,7,7,4,6,4,5,7,2,7,3,8,5,7,8,8,7,5,7,8,6,10,6,6,4,7,6,8,9,7,4,5,7,8,5,4,7,6,4,7,5,5,6,4,5,6,8,8,7,6,3,4,5,9,4,10,8,5,7,6,1,4,6,9,8,7,7,8,6,2,7,6,8,8,7,7,5,8,4,6,9,6,6,7,6,8,7,7,6,6,6,6,4,5,5,4,6,8,7,8,9,7,5,6,7,7,2,6,3,4,3,9,2,5,3,7,3,6,4,7,4,1,2,6,4,4,8,4,7,4,7,5,4,5,2,6,5,7,7,8,6,10,8,4,6,6,6,10,2,2,5,4,5,2,5,7,6,1,10,8,6,7,4,10,4,7,9,7,5,5,4,8,7,8,7,7,7,8,8,8,7,10,4,1,6,7,5,7,3,7,5,7,4,6,8,6,9,8,5,4,6,4,4,6,4,4,7,4,5,3,8,8,8,7,4,7,3,9,9
20190719-131144,7,29,131.79,136.38,126.7,73.7,60.31,60.27,66.2,78.87,116.09,29.84,132.96,61.41,163.26,14.8,6,9,5,7,7,8,6,5,7,7,4,6,9,7,4,5,4,8,4,5,7,6,8,8,4,3,9,1,5,5,7,8,8,7,9,4,10,5,7,4,3,9,8,4,3,5,6,6,3,4,3,8,3,7,5,3,7,10,2,5,7,5,6,6,6,5,7,7,3,4,9,3,4,5,5,8,8,5,7,7,8,8,7,6,8,4,7,4,3,1,1,3,7,8,3,5,8,9,5,6,5,6,8,5,1,8,2,5,4,4,7,4,9,4,3,5,2,5,2,3,4,6,8,8,4,5,7,6,5,4,4,8,9,7,4,6,6,7,7,3,8,7,1,8,5,5,2,3,5,5,5,5,8,3,3,6,3,5,5,7,7,3,7,2,7,5,9,9,7,7,6,6,5,2,7,6,6,6,9,5,5,4,7,4,5,5,4,3,6,9,3,5,6,9,8,6,4,3,6,5,7,6,5,3,6,5,9,8,4,7,4,3,6,1,6,6,7,8,6,7,9,5,7,6,5,8,5,7,7,5,9,3,6,9,4,7,9,7,7,7,7,4,5,7,8,3,6,6,6,4,5,8,8,10,9,5,7,4,4,4,4,2,4,4,8,9,5,5,7,3,6,5,9,4,5,1,6,5,4,9,10,5,7,6,3,4,4,2,7,7,5,6,9,6,3,8,4,5,6,3,1,2,2,5,6,5,3,5,7,7,4,8,7,3,7,4,8,5,4,8,7,3,7,3,7,6,8,6,7,4,9,4,6,3,9,6,1,6,6,4,7,2,7,6,3,5,3,7,5,7,6,4,3,6,4,4,7,4,3,6,4,5,3,3,6,9,7,6,6,3,6,6
20190725-121043,8,29,129.16,136.83,130.89,70.15,57.14,56.97,66.08,77.54,132.15,44.06,134.17,58.01,184.03,6.28,6,6,8,7,4,8,5,7,7,7,5,7,6,4,6,7,4,4,3,2,7,5,6,8,4,4,9,2,4,7,8,7,8,7,7,5,8,3,4,6,3,3,9,4,3,5,9,5,7,5,3,7,8,5,6,3,7,10,3,4,6,5,8,7,6,6,3,5,3,3,9,8,4,6,6,8,6,6,7,8,7,7,4,8,7,4,6,7,2,10,4,9,7,8,7,4,6,9,7,5,4,7,8,7,1,8,3,7,6,5,8,4,5,3,3,8,2,4,2,3,3,3,5,5,4,6,5,7,6,7,8,8,5,8,4,6,4,7,8,2,8,9,5,4,4,4,2,4,6,4,3,3,6,3,4,8,3,7,7,7,4,3,5,4,10,8,8,9,8,5,6,8,5,1,7,5,6,7,7,3,5,8,7,5,5,4,5,3,4,9,4,6,7,7,5,6,5,7,8,5,8,4,5,3,7,6,9,6,4,8,5,2,5,1,7,6,4,7,6,7,9,8,8,7,5,8,3,8,7,6,9,6,6,6,1,5,8,5,5,8,6,6,7,7,6,4,4,4,6,7,5,7,6,9,8,6,8,3,7,3,4,3,3,6,8,4,5,4,7,8,7,7,8,4,8,3,6,5,7,9,8,7,7,4,4,4,4,2,7,8,7,6,5,5,3,9,5,7,3,2,10,7,3,6,3,6,2,5,7,6,2,8,7,4,7,4,8,6,3,9,6,3,7,2,4,5,8,6,7,5,8,7,5,4,8,6,1,6,6,4,6,2,7,6,4,5,8,7,6,7,3,7,4,5,2,5,6,4,6,2,5,7,2,8,9,9,4,4,8,3,4,4
20190731-104545,9,31.5,141.78,143.64,139.64,80.49,74.31,75.2,94.34,94.09,194.38,24.19,142.24,75.17,212.02,4.01,8,10,8,9,10,9,8,8,10,9,7,10,10,6,9,10,4,8,10,8,9,7,10,7,9,8,9,7,9,9,8,10,7,9,10,8,9,7,9,7,8,10,10,8,5,9,9,7,9,5,7,9,6,4,7,9,9,8,5,6,10,5,9,8,7,8,9,8,8,8,9,9,5,10,7,9,8,8,8,9,8,8,8,7,10,7,8,8,4,10,4,7,7,10,10,9,9,10,8,8,6,7,9,7,10,9,5,8,8,9,10,7,9,7,7,10,7,7,1,9,6,7,9,9,7,9,7,8,8,10,9,10,10,9,10,6,8,8,10,7,9,10,7,10,6,8,3,5,8,7,8,8,9,9,8,10,8,8,9,8,7,3,8,7,10,8,10,10,10,7,6,9,8,7,9,8,8,4,9,9,5,10,10,7,9,8,10,8,7,9,6,6,9,9,9,7,8,4,10,8,9,8,8,8,4,4,10,9,10,9,8,7,9,1,4,6,8,10,8,6,8,8,8,8,7,9,9,9,7,6,10,8,8,9,7,6,9,9,8,9,6,8,8,9,9,10,4,9,9,9,7,8,7,10,9,8,5,8,9,7,7,4,2,5,10,9,8,6,8,9,8,6,10,7,9,4,9,6,7,4,10,9,9,6,4,6,8,3,8,9,8,8,9,8,10,10,8,8,8,7,10,9,5,7,7,7,8,7,9,9,5,10,8,8,8,7,10,7,8,10,6,8,7,4,8,7,9,9,9,8,10,9,8,8,10,8,8,9,8,8,8,5,8,6,7,8,10,7,7,9,6,9,6,7,7,8,7,7,7,8,7,7,6,10,9,9,9,8,8,3,9,9
20190730-121539,10,33,125.59,128.87,120.25,77.27,65.85,65.02,55.2,77.85,37.5,35.86,125.92,66.53,155.57,30.88,5,8,6,6,8,8,5,8,5,8,4,9,5,3,5,7,4,4,7,4,4,4,4,6,6,3,9,6,4,4,3,3,5,6,8,6,9,6,7,4,4,1,8,6,4,4,4,2,3,4,4,6,5,4,4,3,7,7,4,3,6,5,6,4,6,7,4,5,7,5,8,8,1,7,6,7,6,5,7,6,7,4,5,6,8,3,5,2,3,6,3,3,2,5,4,4,8,5,6,4,5,4,8,5,1,8,5,6,4,4,6,7,5,4,4,7,3,4,3,3,3,5,4,3,5,4,3,5,6,3,6,8,1,8,3,4,3,5,8,4,9,5,4,5,6,7,2,3,7,4,4,3,4,4,3,9,7,4,2,6,5,2,4,4,2,5,8,7,5,5,5,4,6,1,5,6,6,3,5,2,5,8,5,1,4,7,7,3,4,8,4,6,5,8,5,3,3,4,6,7,7,6,3,6,3,6,8,5,3,5,6,4,6,1,3,6,4,8,5,8,7,6,9,6,6,8,2,8,4,6,6,4,4,2,2,5,8,6,5,8,2,6,6,5,8,4,4,7,8,4,6,6,2,9,4,4,5,6,4,4,2,3,7,5,9,2,6,8,7,4,4,7,9,6,9,2,6,7,6,3,10,3,7,3,4,4,4,2,6,8,6,7,5,7,10,9,6,7,5,6,10,8,3,2,6,5,3,5,7,5,3,5,5,2,8,5,5,6,7,7,7,4,8,5,3,4,6,4,8,7,8,8,4,4,7,7,1,6,7,4,5,2,6,4,3,7,3,6,6,8,4,5,5,5,4,4,7,4,7,4,7,4,3,3,4,8,5,3,3,3,2,2
20190704-115458,11,30,136.35,138.1,129.29,83.31,71.43,70.4,65.49,79.83,132.94,38.89,135.26,72.11,200.9,12.86,3,10,3,6,6,7,2,5,5,5,3,6,1,4,2,4,3,2,4,4,5,2,2,3,1,2,7,2,3,5,1,3,5,5,5,5,8,3,3,4,2,2,5,4,2,3,3,3,2,3,2,3,2,7,2,1,7,5,3,2,2,4,3,4,3,5,4,4,4,3,6,3,1,1,6,5,2,3,7,2,2,4,4,5,2,2,2,2,2,1,4,1,2,3,1,3,6,3,1,2,3,3,4,3,1,5,3,3,3,6,5,4,3,2,3,4,2,3,7,1,1,4,3,2,4,3,1,5,5,3,3,4,9,5,3,4,3,2,3,3,9,4,1,1,3,6,2,3,7,3,2,4,4,3,2,3,3,3,2,6,5,2,4,2,2,5,6,4,4,5,5,4,4,1,4,5,5,3,3,1,2,2,1,1,4,4,5,3,3,8,1,4,2,6,4,1,3,7,4,3,8,1,2,2,3,7,7,4,3,5,4,2,6,1,3,6,3,4,5,8,6,5,9,4,3,7,2,7,6,4,3,2,4,1,1,6,7,5,5,3,3,2,5,4,4,3,3,1,3,4,6,6,2,8,4,3,3,3,5,1,3,1,7,5,4,1,6,4,4,3,3,6,4,4,1,1,6,5,4,2,6,4,6,2,2,3,5,2,5,4,5,4,3,4,3,2,4,7,3,7,1,2,1,2,4,3,2,4,5,2,1,5,4,3,7,4,5,5,3,6,6,2,8,3,3,3,8,4,5,3,6,3,3,3,6,6,1,4,3,2,3,1,4,4,2,3,1,6,4,2,4,2,2,3,2,2,3,3,5,4,3,3,1,3,5,6,2,4,3,4,1,1
20190531-113808,12,29,145.47,144.11,136.83,77.86,71.63,72.19,90.46,90.01,176.59,8.7,142.09,72.35,198.73,9.14,7,10,7,8,8,7,3,7,6,9,6,9,6,8,7,7,4,7,7,8,7,4,8,8,7,8,7,7,7,6,4,3,7,7,8,7,10,7,6,7,5,8,7,8,4,7,8,4,8,5,6,7,7,4,7,3,9,8,4,7,5,5,7,4,7,8,7,7,7,5,9,8,5,8,7,7,7,7,8,5,8,7,6,5,9,6,6,4,4,8,6,3,8,8,7,7,7,10,5,5,5,5,7,7,1,6,5,8,7,4,6,7,7,4,5,8,5,6,3,1,4,7,8,8,8,6,2,7,7,8,8,6,10,6,9,4,7,4,7,3,8,10,4,4,6,8,3,4,7,4,5,5,7,6,4,9,6,7,6,7,6,3,7,7,8,8,8,8,7,6,5,8,8,5,9,7,7,6,8,5,8,10,7,6,7,8,7,3,7,9,4,6,7,7,6,4,3,7,7,8,9,8,4,6,6,6,9,7,9,9,5,6,6,1,6,6,5,7,5,6,7,7,8,7,5,9,3,7,7,5,9,8,4,8,3,5,9,6,7,8,4,6,8,9,6,7,4,4,8,9,7,7,3,10,6,6,7,7,9,5,4,2,5,5,8,3,6,7,8,7,5,8,9,6,9,1,7,7,7,7,9,8,8,5,4,5,6,3,8,7,7,8,7,5,10,5,4,7,6,6,10,9,4,7,8,6,4,6,6,5,6,5,7,6,8,4,5,6,7,9,7,6,8,3,6,6,8,7,6,7,6,8,5,8,10,8,6,7,7,5,7,3,6,5,6,7,10,7,5,8,4,5,8,5,6,5,5,3,7,9,4,8,4,8,7,9,5,5,8,4,6,6
