time,no.,BT,B-pix,G-pix,R-pix,B-st,G-st,R-st,D-pix-w300,D-st-w300,Dm-pix-w300,Dm-st-w300,gray-pix,gray-st,graym-pix,graym-st,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134,p135,p136,p137,p138,p139,p140,p141,p142,p143,p144,p145,p146,p147,p148,p149,p150,p151,p152,p153,p154,p155,p156,p157,p158,p159,p160,p161,p162,p163,p164,p165,p166,p167,p168,p169,p170,p171,p172,p173,p174,p175,p176,p177,p178,p179,p180,p181,p182,p183,p184,p185,p186,p187,p188,p189,p190,p191,p192,p193,p194,p195,p196,p197,p198,p199,p200,p201,p202,p203,p204,p205,p206,p207,p208,p209,p210,p211,p212,p213,p214,p215,p216,p217,p218,p219,p220,p221,p222,p223,p224,p225,p226,p227,p228,p229,p230,p231,p232,p233,p234,p235,p236,p237,p238,p239,p240,p241,p242,p243,p244,p245,p246,p247,p248,p249,p250,p251,p252,p253,p254,p255,p256,p257,p258,p259,p260,p261,p262,p263,p264,p265,p266,p267,p268,p269,p270,p271,p272,p273,p274,p275,p276,p277,p278,p279,p280,p281,p282,p283,p284,p285,p286,p287,p288,p289,p290,p291,p292,p293,p294,p295,p296,p297,p298,p299,p300,p301,p302,p303,p304,p305,p306,p307,p308,p309,p310,p311,p312,p313,p314,p315,p316,p317,p318,p319,p320,p321,p322,p323,p324,p325,p326,p327,p328,p329,p330,p331,p332,p333,p334,p335,p336,p337,p338,p339,p340,p341,p342,p343,p344,p345,p346,p347,p348,p349,p350,p351,p352,p353,p354,p355,p356,p357,p358,p359,p360,p361,p362,p363,p364,p365,p366,p367,p368,p369,p370,p371,p372
20180421-114055,42,28,168.57,165.03,155.11,64.74,59.98,59.34,111.48,77.61,165.93,26.52,162.42,60.07,206.9,9.92,10,9,9,10,9,10,6,9,6,7,9,9,10,9,8,8,8,8,9,9,10,7,9,9,7,8,10,9,8,10,8,9,9,8,10,9,9,8,5,7,8,9,8,9,7,7,8,4,9,7,7,4,9,2,8,6,6,4,8,10,9,6,9,8,9,8,8,7,8,5,7,9,9,10,7,7,9,9,8,6,10,8,7,7,10,8,8,6,6,8,8,8,8,9,10,8,8,9,8,5,8,7,9,10,10,8,9,10,7,8,8,7,8,8,8,5,8,9,2,10,7,8,7,9,8,9,8,7,9,10,9,7,10,7,9,8,9,8,9,5,4,10,10,10,9,9,4,3,9,7,10,8,9,7,9,10,10,8,10,8,7,5,9,9,10,10,10,8,9,8,7,10,8,7,6,9,9,8,9,3,8,10,8,3,9,9,10,8,8,7,8,8,8,9,10,9,6,9,10,9,9,7,8,8,8,5,8,9,9,9,8,8,8,6,8,6,7,10,6,7,9,9,8,8,9,10,9,7,7,5,9,8,6,9,9,7,9,10,8,9,5,7,9,8,10,10,9,10,9,9,10,8,9,10,10,9,9,8,8,7,7,7,2,6,9,10,9,8,9,8,7,7,9,4,10,3,7,6,9,8,9,8,9,7,8,7,8,3,10,8,9,9,8,7,10,10,8,8,6,9,10,9,8,8,9,9,9,8,8,8,6,4,9,8,8,8,4,8,9,10,5,6,6,10,7,8,8,9,10,10,9,10,5,9,10,9,9,9,9,9,7,7,6,7,9,9,10,9,7,8,8,6,5,9,9,9,7,3,9,10,4,9,9,8,8,9,8,8,8,4,10,10
20180303-133732,43,25,152.89,138.45,125.3,50.54,41.25,40.38,57.42,51.48,111.3,21.89,136.15,41.06,156.24,6.13,7,5,8,8,6,8,5,9,6,5,5,9,9,10,7,8,4,7,10,6,9,7,8,6,4,6,8,9,6,9,6,7,9,7,10,8,6,7,4,8,5,7,4,7,4,7,4,5,7,6,2,7,7,4,8,6,6,3,8,4,6,2,9,7,8,3,7,9,8,6,7,9,7,8,6,2,10,6,6,5,8,9,6,8,8,6,8,5,5,9,1,7,8,5,10,6,8,8,8,4,7,5,8,9,1,7,8,9,7,7,8,4,8,7,6,10,1,8,2,10,7,7,6,9,7,8,3,7,7,8,8,6,3,6,5,5,6,6,8,7,6,7,6,10,9,4,2,3,8,6,8,5,7,5,4,10,7,6,4,9,4,5,9,6,7,9,8,8,6,7,7,7,4,6,6,9,5,4,7,4,8,7,7,3,8,8,2,8,8,6,6,8,8,9,10,7,7,4,10,9,8,5,7,4,4,5,8,9,5,6,8,7,8,1,4,6,5,9,7,7,9,8,9,6,9,9,5,6,4,8,7,6,8,5,5,6,8,8,9,7,3,5,7,6,9,7,9,8,8,7,7,7,1,9,8,9,4,8,8,5,4,3,2,7,9,3,7,7,5,5,7,7,8,6,10,2,8,6,5,6,10,8,8,3,5,4,5,3,9,5,7,8,8,8,10,9,7,5,7,7,10,9,4,9,9,8,9,9,8,5,7,3,5,5,7,8,3,8,7,8,5,5,6,8,7,7,7,7,9,8,9,8,2,7,9,6,3,5,8,5,7,5,4,5,7,5,9,8,6,6,8,6,7,7,7,7,6,3,7,8,8,7,6,9,6,9,8,7,8,3,10,10
20180305-154024,44,27,126.42,120.09,111.5,62.49,56.25,54.5,52.99,57.92,77.24,28.51,118.24,55.88,132.95,17.13,7,8,7,6,2,9,3,4,5,6,4,5,2,6,3,7,3,5,8,5,4,4,2,8,1,4,6,6,5,6,7,3,5,6,5,6,8,3,5,7,3,3,5,5,4,5,4,6,2,3,4,3,5,4,5,3,5,7,5,5,4,2,4,5,7,4,4,4,6,4,3,8,3,6,6,6,6,4,5,7,3,9,5,8,6,3,4,2,4,1,7,3,7,5,3,5,8,6,5,3,6,6,6,4,1,7,2,6,7,7,8,6,8,3,5,4,3,4,6,3,5,8,6,7,7,6,2,5,6,4,6,6,1,6,4,4,6,5,3,2,2,5,3,10,5,6,1,2,7,3,8,2,6,3,3,7,4,5,2,5,3,2,4,4,1,4,5,7,5,7,6,4,3,4,5,6,4,4,3,4,6,3,4,1,4,5,5,6,6,8,3,6,8,8,9,5,6,4,8,4,7,7,4,3,4,6,6,3,4,8,5,3,7,1,4,6,7,5,4,3,9,6,6,5,8,9,3,7,6,6,4,3,4,6,2,6,8,3,7,8,4,4,8,3,8,9,3,2,5,7,5,6,6,9,5,7,4,8,1,3,2,1,8,6,9,6,6,6,6,3,4,5,7,4,8,1,6,5,3,3,8,4,4,4,3,5,3,2,2,3,6,3,8,4,8,4,2,5,4,6,1,2,1,8,5,5,3,5,7,7,3,5,4,2,6,5,5,7,3,6,5,4,6,4,3,7,6,6,8,7,6,7,3,3,2,6,2,3,5,4,6,1,5,5,6,2,3,7,2,10,7,3,3,6,7,4,4,2,6,4,5,4,2,3,7,4,2,4,7,3,9,9
20180319-152603,45,25,136,135.82,129.88,52.64,44.71,42.99,71.25,62.57,112.88,22.39,134.04,44.63,155.71,7.88,10,10,9,10,9,10,9,10,10,9,9,10,10,10,9,10,8,9,10,10,10,10,10,10,10,8,8,9,9,10,9,8,10,8,10,9,10,9,7,9,7,10,8,10,8,9,10,10,8,6,9,9,9,2,10,6,9,9,10,10,10,8,9,7,8,9,8,10,9,8,8,10,10,9,9,9,10,10,8,9,10,10,8,8,10,8,9,9,7,10,8,9,10,10,10,9,10,9,10,6,7,8,9,8,10,8,8,10,9,8,7,8,10,8,9,10,7,8,1,10,9,9,7,10,6,10,7,7,10,10,10,6,8,8,9,9,8,9,10,9,3,10,10,10,10,7,4,7,10,10,8,8,9,10,9,10,9,7,10,9,8,9,9,10,9,9,10,9,8,8,7,10,8,9,10,8,7,8,9,10,10,10,8,8,10,9,10,9,8,8,8,5,9,9,10,8,7,9,10,9,10,8,7,8,8,4,10,8,9,10,7,9,9,7,8,6,8,10,7,9,10,9,5,7,10,10,9,8,8,6,10,8,6,10,2,8,9,10,10,10,7,8,9,8,10,10,10,9,10,8,10,8,10,10,10,10,9,10,10,8,9,7,1,8,10,9,8,9,10,8,6,6,10,8,10,6,7,8,7,10,10,9,8,9,8,8,7,6,9,5,8,9,10,8,10,10,8,9,9,8,10,10,10,10,10,9,10,9,10,9,8,7,10,9,9,7,7,9,9,8,5,10,6,7,9,8,7,10,10,10,9,10,8,9,9,8,10,8,8,10,9,7,8,8,9,9,10,10,5,9,8,8,10,10,10,9,8,8,9,10,7,9,8,10,9,9,10,10,8,4,10,10
20180403-142403,46,23.5,130.49,130.9,123.73,58.51,51.74,50.11,63.58,67.53,91.59,34.61,128.68,51.67,150.29,11.78,10,10,8,10,10,9,8,9,8,5,7,10,10,9,6,9,8,8,8,9,10,5,10,10,8,7,8,9,8,10,9,7,9,8,10,8,10,8,7,8,6,5,9,10,8,8,8,8,3,6,7,4,7,3,8,4,9,9,8,8,7,3,4,4,8,8,4,9,8,4,9,8,9,8,8,9,9,8,9,8,10,8,7,8,8,8,8,7,8,7,7,7,9,7,9,8,9,9,10,5,6,8,7,8,1,9,7,9,8,8,8,8,5,8,8,7,8,6,1,9,7,7,7,7,6,10,7,7,8,8,9,5,9,9,9,10,9,7,8,6,3,10,6,7,8,6,3,6,9,6,8,9,7,8,7,9,9,6,5,9,7,9,7,7,10,8,8,8,8,8,8,10,9,8,10,9,6,4,9,9,9,10,8,9,9,9,7,7,6,8,7,8,9,9,9,8,5,7,9,7,10,8,5,8,4,4,8,6,9,9,7,8,9,5,4,6,7,8,8,10,9,6,6,8,8,10,9,8,8,6,9,9,6,10,2,6,7,10,9,10,7,8,9,7,9,10,8,9,8,7,10,6,10,10,9,9,9,9,9,7,4,5,2,8,10,9,7,8,5,6,6,5,9,6,9,4,6,7,8,7,10,9,7,10,6,5,8,3,9,4,8,9,5,5,10,8,3,8,5,8,10,8,10,10,8,8,9,7,10,9,9,7,9,9,8,7,7,9,8,9,6,8,7,3,9,8,7,9,10,8,7,10,8,9,9,8,9,3,7,10,7,5,8,8,6,5,4,10,3,8,8,6,8,9,9,7,7,4,9,10,7,8,6,6,6,9,8,9,7,3,8,8
20180121-100821,47,19,154.8,154.07,147.09,63.98,60.74,59.97,95.85,79.77,140.32,32.36,152.02,60.64,191.47,19.45,10,10,8,10,1,10,5,9,5,7,9,10,8,9,9,10,8,8,10,8,8,7,8,7,9,8,6,10,8,10,8,6,9,9,10,10,6,8,8,7,7,8,8,9,6,7,8,8,9,5,7,4,9,3,3,10,9,7,10,5,10,8,9,4,10,7,7,10,9,8,6,10,7,9,8,8,10,7,8,5,9,10,8,9,10,7,8,7,8,7,9,8,10,10,10,8,8,8,7,8,7,7,9,9,1,9,9,10,9,6,10,6,8,8,9,7,6,5,1,10,9,8,7,8,7,9,6,9,9,9,10,7,5,9,9,9,9,8,8,5,4,10,6,10,9,8,5,6,10,7,10,9,9,7,7,10,10,8,6,9,8,4,9,9,10,9,8,8,7,8,8,8,6,10,9,8,6,8,6,7,10,7,10,8,9,10,8,7,7,10,9,10,5,10,9,8,8,9,10,8,10,9,5,4,8,5,9,5,9,7,8,8,8,5,8,6,6,10,6,9,9,8,4,8,8,10,10,7,6,8,7,8,8,8,9,5,9,10,10,4,8,8,9,9,9,10,10,10,8,8,10,6,7,10,9,5,8,9,9,9,8,8,1,6,10,9,7,7,6,8,5,5,10,4,10,3,9,6,3,10,7,9,10,9,7,6,9,4,8,6,8,9,8,9,10,10,7,7,7,9,10,8,9,10,8,7,10,8,8,10,7,6,10,8,8,8,6,8,9,10,4,6,8,6,7,9,8,9,9,10,10,8,7,9,9,6,10,5,9,7,7,2,5,5,7,9,10,10,7,3,7,10,8,8,10,8,8,4,10,9,9,9,10,10,8,10,9,6,8,4,9,9
20180125-104834,48,19.7,136.61,125.24,111.26,69.87,59.94,54.17,47.29,56.54,54.76,41.04,122.36,58.7,154.69,28.31,3,1,2,7,1,6,1,5,3,5,2,3,2,5,3,6,2,2,7,6,1,2,2,3,2,1,2,9,4,3,3,3,5,7,8,4,6,2,2,7,2,2,2,7,3,6,2,3,2,3,3,1,6,4,1,3,1,5,4,4,3,4,8,4,7,4,4,6,5,4,3,8,5,6,4,2,4,4,2,4,2,4,5,6,4,2,2,2,4,1,6,3,10,3,3,4,3,3,1,2,4,4,5,7,1,6,4,6,6,6,3,3,3,2,2,2,1,2,8,3,3,4,2,1,2,3,1,5,7,3,8,7,1,6,3,3,3,5,3,3,3,4,8,2,3,2,1,1,2,3,4,1,5,4,2,8,3,3,3,5,3,3,3,3,1,9,5,3,3,6,4,3,2,1,5,6,2,4,3,1,6,3,3,1,3,2,2,7,4,3,5,6,4,7,7,3,3,3,6,2,6,2,3,3,4,7,6,2,3,2,4,2,3,1,4,6,2,3,2,6,4,3,4,2,6,8,3,6,5,5,2,2,2,1,1,4,4,2,8,3,1,5,5,3,9,4,3,1,3,4,5,5,1,8,6,4,3,5,3,2,4,2,8,4,4,2,6,8,4,2,3,5,3,4,6,1,5,4,2,2,3,3,4,2,4,5,2,2,2,4,5,3,3,6,7,8,4,5,4,3,1,2,1,7,3,3,1,4,4,2,2,5,4,5,6,3,5,5,4,5,5,4,8,4,6,5,8,3,6,3,5,2,5,2,2,4,1,3,5,2,3,3,3,4,2,2,2,3,3,1,4,1,3,3,6,3,4,2,8,4,8,3,4,4,5,3,3,4,4,5,3,3
20180118-132700,49,25,147.16,138.71,129.49,51.6,44.34,42.59,69,57.96,118.76,20.37,136.91,44.06,158.95,10.17,9,6,7,10,3,7,5,10,5,6,5,9,10,10,8,10,7,8,9,8,9,7,4,9,5,8,7,8,6,8,7,6,9,8,10,9,6,6,8,8,6,4,7,9,7,7,9,8,8,5,8,5,8,3,7,9,8,6,10,7,6,7,8,7,9,7,8,9,9,5,7,9,8,8,6,5,10,8,8,7,7,10,6,8,10,7,7,7,6,8,4,5,10,7,10,6,8,3,10,6,6,7,8,9,1,8,7,9,8,6,9,7,7,8,8,8,5,5,2,9,8,7,7,6,3,6,5,7,7,5,9,9,7,7,9,9,8,8,8,6,5,10,7,10,6,8,2,5,9,6,8,7,7,5,7,8,9,5,4,8,4,7,8,7,7,8,8,6,7,7,7,8,7,7,7,8,4,3,6,7,9,9,8,3,9,9,8,9,7,7,7,8,8,8,9,4,8,4,10,7,9,4,8,7,3,6,9,5,9,9,6,8,6,1,3,6,6,7,6,7,8,7,4,7,9,10,9,7,7,9,4,7,6,9,9,4,7,9,9,6,5,8,8,5,9,7,8,8,9,8,8,7,5,9,10,8,4,8,7,6,6,7,1,6,9,10,7,8,5,8,5,7,10,6,9,3,9,7,6,9,10,9,6,8,6,6,6,4,9,5,7,8,7,8,10,9,6,6,6,7,10,8,8,7,9,6,8,8,9,9,7,5,8,6,7,6,5,8,7,6,5,4,9,8,6,7,7,9,8,7,8,7,6,9,4,5,8,7,7,6,6,5,4,6,4,7,10,7,7,8,6,5,7,9,9,8,5,5,8,8,9,8,9,8,7,3,7,8,8,3,10,10
20180327-131331,50,22,147.74,137.12,126.31,54.99,44.77,43.15,61.37,57.92,106.06,28.99,135.11,44.82,159.12,8.3,8,10,8,10,3,9,5,10,5,6,5,9,8,10,6,10,4,6,8,9,9,7,7,9,5,7,7,7,7,9,7,5,9,8,10,8,8,5,7,9,7,4,7,9,6,7,9,8,7,4,6,6,6,3,5,7,6,7,9,6,5,3,9,7,9,5,6,10,9,5,7,9,5,9,6,3,10,8,6,7,9,8,6,7,9,6,5,7,5,8,4,5,9,7,7,7,9,8,9,6,6,7,7,8,1,7,7,9,8,6,9,6,8,7,7,8,5,5,2,3,7,8,7,4,4,7,7,7,7,4,9,5,8,8,9,9,8,7,7,6,3,10,6,10,6,7,2,5,8,6,7,4,8,5,7,9,7,5,8,8,3,5,8,8,4,9,8,7,7,9,6,8,6,6,4,8,4,4,6,5,9,9,6,2,8,8,5,7,7,5,8,9,9,8,8,4,5,3,8,7,9,4,8,7,4,6,8,7,9,8,6,7,6,1,4,6,6,7,6,4,8,7,3,7,9,9,8,7,6,7,6,6,4,4,7,5,7,8,9,8,6,7,7,8,8,7,9,4,9,7,8,7,5,9,10,8,4,8,4,5,7,4,3,7,9,9,6,7,6,5,4,6,8,4,10,3,8,6,7,9,10,8,5,7,5,4,6,5,8,5,7,7,8,8,10,8,6,4,7,7,10,8,3,9,7,6,3,8,8,9,7,5,6,5,7,6,5,7,8,6,6,4,5,6,5,6,5,9,7,7,8,6,7,9,9,8,6,4,8,6,6,4,4,6,7,7,9,7,6,3,6,8,5,8,9,7,6,3,9,9,8,8,9,10,5,4,7,7,7,3,8,8
20180401-061331,51,20,106.39,106.59,107.87,64.66,69.49,76,69.56,69.81,98.42,40.03,106.95,70.7,162.1,22.85,6,6,6,4,4,9,9,8,4,6,4,9,6,4,6,5,2,3,9,8,5,8,5,2,2,7,3,7,8,8,6,3,8,8,8,3,4,4,6,6,7,3,7,9,6,5,6,9,2,3,8,5,8,4,7,3,7,5,6,7,2,5,9,3,7,5,5,7,9,8,6,9,4,9,7,3,9,4,5,7,8,9,7,5,7,6,8,3,4,1,8,7,6,4,10,8,2,9,7,5,6,5,6,9,1,8,8,7,7,6,8,5,6,7,8,7,9,7,2,3,6,8,5,3,5,9,3,7,5,8,7,6,2,7,9,3,9,6,8,5,3,10,8,7,6,4,4,5,8,3,4,3,6,5,6,7,10,7,7,8,6,3,8,4,7,9,7,7,5,7,4,6,9,3,9,8,5,3,4,3,8,9,4,4,8,9,8,6,8,5,6,10,8,7,7,2,7,4,9,8,9,6,3,8,3,6,7,4,9,4,7,4,7,4,3,6,7,6,4,6,9,7,4,7,8,10,9,8,5,5,2,3,6,10,7,6,4,3,9,2,5,5,4,1,9,9,3,8,3,6,7,7,5,10,10,3,6,8,4,2,5,5,4,3,7,6,7,6,8,7,7,6,3,8,10,3,9,5,3,3,8,3,3,10,4,3,3,3,6,9,5,7,6,5,9,9,3,6,3,6,10,9,3,8,8,5,3,6,7,2,3,5,10,5,7,7,5,6,8,7,6,6,5,10,7,7,7,7,7,8,5,3,8,9,1,2,10,4,9,6,6,4,8,4,6,2,10,7,5,9,5,4,9,4,9,5,6,7,8,3,5,6,7,9,6,3,5,7,6,3,4,4
20180426-124228,52,28,154.19,146.04,136,57.59,48,46.13,72.53,66.36,116.35,30.04,143.97,48.08,172.2,9.65,9,1,9,9,2,9,7,9,7,8,5,9,8,9,7,10,7,6,9,7,7,8,7,8,7,7,8,8,7,9,6,6,8,7,10,7,8,5,6,7,5,3,9,8,6,7,6,9,8,6,7,4,8,3,6,9,6,6,10,6,7,6,9,7,9,4,7,9,9,7,4,9,9,10,6,3,10,9,6,8,9,9,7,7,9,5,7,6,5,10,5,4,10,7,8,7,9,9,8,6,7,7,7,9,1,7,9,9,8,6,9,5,8,9,9,7,6,7,2,3,7,7,6,9,5,8,5,8,7,7,8,7,4,7,6,7,8,7,8,6,2,10,6,10,6,8,2,5,9,7,10,6,8,6,7,9,6,7,8,8,5,2,8,6,1,8,7,6,6,9,7,8,6,6,6,8,6,3,8,5,9,3,7,2,8,8,8,9,7,7,7,8,8,7,8,7,6,5,9,7,9,4,4,7,3,5,7,4,6,6,7,6,8,1,3,6,5,7,7,6,9,7,3,7,9,10,9,7,5,7,7,7,6,8,8,5,7,9,9,7,6,7,5,8,9,9,7,9,9,7,7,8,8,10,9,7,4,7,4,6,7,3,2,6,9,9,7,7,8,7,5,3,9,7,10,5,8,6,6,8,10,9,3,7,6,6,6,4,7,7,7,6,8,7,10,8,3,7,6,7,10,8,7,7,9,6,8,8,7,7,6,5,5,6,7,7,5,7,8,6,6,6,5,8,3,7,6,9,6,8,9,8,8,8,8,7,8,7,8,7,7,4,6,5,6,4,10,7,6,3,7,6,7,6,9,7,6,7,9,8,6,8,9,9,6,9,7,6,7,3,7,7
20180210-122606,53,16,152.15,148.65,140.41,59.32,54.29,52.1,92.33,72.39,144.54,20.43,146.53,53.96,182.38,8.1,9,10,9,10,5,10,9,10,6,8,8,10,10,9,9,10,9,8,10,9,10,10,10,10,9,8,9,10,7,10,9,4,9,8,10,10,5,9,8,8,9,9,9,9,8,8,9,9,3,8,9,7,9,2,7,10,6,7,10,8,9,7,9,7,10,8,8,10,10,8,7,10,10,10,9,7,10,8,7,9,10,10,8,6,10,8,8,8,7,10,9,9,9,10,10,7,10,10,10,7,8,8,7,10,10,9,9,10,9,8,9,8,9,10,9,9,6,8,2,10,8,10,5,9,5,10,9,10,10,9,9,7,8,9,9,10,8,9,9,8,4,10,9,10,6,6,3,5,10,8,10,8,10,5,8,10,6,9,9,8,7,8,10,9,7,9,10,6,8,5,8,10,9,7,10,8,7,9,6,4,10,10,10,5,9,10,9,9,8,7,10,10,8,7,10,7,7,9,10,9,10,6,9,9,9,4,8,7,9,10,10,8,9,5,9,6,6,8,6,7,10,9,4,8,10,10,10,8,7,5,8,7,6,10,8,8,6,10,10,8,8,8,8,9,10,7,10,10,9,9,10,7,10,9,10,8,9,9,10,9,8,10,1,7,10,9,8,7,10,3,6,3,9,5,10,6,10,6,6,10,10,10,9,10,7,6,8,6,10,8,8,9,9,9,10,10,7,6,4,8,10,9,10,8,9,7,10,8,9,9,8,7,10,9,9,7,7,7,6,8,6,8,6,3,9,8,7,10,9,9,9,8,9,9,10,10,8,9,8,9,9,4,9,7,10,7,7,9,5,6,7,8,8,10,10,10,8,5,10,10,9,8,10,10,8,9,10,8,4,4,10,10
20180802-085336,54,25.4,162.55,158.66,149.73,79.49,78.08,77.87,98.98,87.26,165.86,27.23,156.41,77.98,217.63,19.56,3,1,7,9,2,8,5,5,5,5,3,6,7,4,5,7,6,2,7,9,3,4,2,5,2,5,5,6,5,7,4,2,6,7,8,5,3,4,3,4,5,3,4,6,4,6,3,9,7,3,7,1,5,4,4,1,7,7,5,4,5,5,6,4,8,4,4,6,6,4,4,4,4,3,6,6,2,3,4,6,3,7,7,7,6,3,4,2,5,1,9,2,7,4,1,5,8,8,4,5,5,5,5,8,1,7,5,2,5,7,9,4,3,1,2,3,3,4,5,2,3,7,3,3,6,9,4,8,5,7,7,8,4,7,4,4,6,4,8,5,2,5,7,2,4,7,2,3,3,2,5,4,5,6,3,5,3,4,2,8,4,3,3,3,1,5,4,7,5,6,4,3,7,3,8,5,4,4,4,4,2,6,3,1,3,9,4,8,4,9,6,8,4,6,5,2,6,3,8,7,9,5,2,3,4,6,4,7,4,4,4,4,4,1,4,6,5,4,4,7,7,3,3,6,6,9,6,7,6,5,4,3,4,4,8,5,7,7,5,2,6,6,7,6,9,5,5,2,4,7,5,6,7,10,5,4,3,7,5,5,4,2,6,4,7,5,6,6,5,3,6,6,3,4,6,2,8,6,2,4,3,3,5,6,4,5,3,3,2,6,6,3,3,7,4,4,4,6,2,5,1,3,9,1,6,5,3,6,6,6,2,7,8,2,8,5,7,4,5,9,6,3,6,1,8,7,9,6,6,7,7,3,6,4,3,4,2,1,7,5,4,2,5,5,5,3,3,8,6,7,4,4,3,5,6,2,4,3,7,4,4,5,5,4,7,9,4,3,5,3,5,5
20181127-120559,55,23,137.58,130.26,119.54,57.77,48.76,46.62,56.45,58.24,76.16,29.08,127.88,48.49,144.17,20.15,5,10,5,9,1,8,5,5,5,7,2,5,8,4,4,6,7,2,6,5,4,4,4,7,5,7,7,6,4,6,6,2,5,7,10,4,7,2,4,6,5,6,6,8,6,6,7,7,2,2,8,4,4,6,4,3,6,5,4,6,9,3,5,4,8,7,4,7,5,5,4,3,8,3,7,2,6,3,4,7,9,5,5,6,6,4,5,3,4,1,4,3,3,7,2,4,7,9,4,3,5,6,7,7,1,6,5,6,8,5,6,4,7,2,5,2,2,5,4,4,3,8,4,3,4,7,3,6,4,4,6,5,8,7,9,5,8,5,3,4,4,10,7,6,3,4,1,3,2,3,7,4,4,6,3,7,3,3,4,8,6,4,2,3,1,9,5,3,7,6,7,6,5,7,8,7,5,4,3,2,4,8,1,1,4,8,6,9,4,8,5,7,7,8,5,4,5,4,8,7,9,4,2,7,4,6,7,6,9,6,4,4,4,1,4,6,5,5,4,8,7,5,4,7,6,9,8,7,6,6,4,4,2,8,5,3,7,5,6,6,6,6,6,5,9,7,7,1,6,4,5,5,5,10,6,4,7,9,4,2,3,3,6,7,7,5,6,7,8,3,4,6,9,6,5,2,8,6,4,4,9,4,2,4,4,5,2,3,2,7,6,4,7,4,4,5,4,4,3,4,1,3,9,8,7,5,2,4,6,7,3,5,9,2,6,3,5,5,4,7,7,4,6,4,3,7,6,7,6,6,4,4,4,6,7,6,3,7,8,5,4,4,4,5,5,2,3,8,7,2,4,3,4,5,5,4,4,2,8,4,8,4,3,2,4,3,4,5,4,3,6,6
20181216-072422,56,19.5,124.41,122.11,116.66,67.76,66.39,65.84,72.12,72.85,92.72,46.14,120.75,66.22,160.79,21.88,7,10,7,10,2,9,5,8,5,6,5,9,7,8,5,8,7,2,8,7,6,6,4,4,5,7,8,6,7,6,8,3,6,7,10,7,9,4,5,7,5,7,4,9,6,8,8,8,8,3,7,6,8,4,6,5,8,7,7,6,7,7,7,4,8,7,5,7,9,6,7,9,9,7,8,8,10,6,6,8,7,8,7,7,7,4,8,3,7,8,8,3,8,7,7,7,9,9,10,6,5,6,7,5,1,7,6,8,8,4,7,7,6,8,7,8,6,5,2,10,4,6,6,4,4,8,3,7,6,8,9,5,3,6,9,4,8,5,6,6,2,10,8,5,5,7,3,3,9,4,4,4,7,8,7,8,9,7,8,8,8,3,7,5,2,9,7,8,6,6,5,7,8,5,9,5,6,5,4,4,5,8,7,1,5,9,7,9,8,8,8,7,5,7,5,5,7,3,8,8,10,7,4,7,5,5,7,5,9,3,5,3,8,1,5,6,6,6,6,7,8,6,3,6,7,10,8,7,7,5,5,4,4,7,8,3,8,7,6,3,7,3,6,4,8,5,6,8,8,7,8,5,7,10,8,5,7,9,7,4,3,4,4,7,10,4,6,8,8,9,4,4,5,8,8,3,7,5,5,4,9,4,5,9,7,4,5,4,9,8,5,5,6,6,10,8,4,7,4,7,10,8,9,8,9,6,8,6,7,5,6,6,10,6,8,5,6,5,8,9,7,6,6,2,5,8,6,8,6,8,8,4,9,8,3,3,6,4,7,9,7,3,5,5,8,5,8,8,6,4,8,5,9,7,7,7,5,3,9,9,8,7,5,6,7,8,5,7,6,4,5,5
20181218-112422,57,22,145.13,140.2,129.98,58.98,51.79,49.91,70.61,65.52,118.84,41.37,137.7,51.53,175.73,19.06,9,1,8,9,8,9,5,8,5,6,5,10,7,9,7,10,6,2,9,8,8,6,10,7,7,6,8,7,7,8,7,4,9,8,10,9,8,6,7,8,4,6,8,9,5,5,6,8,6,4,9,8,7,5,7,5,7,9,8,5,5,4,7,6,8,7,7,8,7,7,6,9,5,8,7,3,10,7,6,7,8,10,5,8,9,6,4,5,6,6,4,6,7,9,10,7,9,9,10,5,7,7,8,9,1,8,6,9,9,5,8,5,8,8,8,8,4,5,3,9,5,8,6,3,4,8,6,8,6,3,7,6,6,7,8,8,6,6,7,5,3,10,8,10,5,4,2,6,7,6,5,6,8,4,4,9,8,6,7,6,5,3,9,7,1,5,7,5,7,9,6,6,7,6,5,6,5,6,5,3,7,8,7,1,8,7,3,8,8,8,7,6,7,9,8,5,6,3,10,8,10,5,4,8,6,6,6,7,8,6,7,4,4,1,6,6,5,9,6,9,9,6,8,7,8,10,9,6,6,9,7,6,4,6,5,5,9,9,6,5,5,8,6,5,6,7,8,7,8,7,8,7,5,10,8,7,7,9,9,7,4,4,3,6,9,5,7,8,7,8,6,7,8,7,9,3,7,6,5,6,10,9,4,2,5,6,6,3,9,7,7,7,8,8,10,9,6,6,8,7,10,8,9,8,9,7,3,8,8,6,7,6,9,9,8,6,6,7,9,10,7,6,7,6,4,7,6,8,6,9,10,6,9,8,8,5,3,7,8,7,6,4,6,6,9,4,9,9,7,3,7,8,6,6,9,7,5,4,7,8,8,8,7,10,4,3,7,7,8,3,7,7